72	94	2019-07-01T06:00:00.000	{876,2824,191,1927,4223}
72	2	2019-07-01T06:00:00.000	{2386,1276,3422,553,1093,2477}
72	70	2019-07-01T06:00:00.000	{642,2728,3675,4545,214}
72	82	2019-07-01T06:00:00.000	{1927,4223,805,1548,2832,2802,498}
72	73	2019-07-01T06:00:00.000	{2315,2629,4062,2552,4381,3951}
72	13	2019-07-01T06:00:00.000	{114,2402,599,1008,1386}
73	28	2019-07-01T06:05:00.000	{104,4110,3383,45,2561,1768}
73	2	2019-07-01T06:05:00.000	{2477,2974,2836,2724,632}
73	3	2019-07-01T06:05:00.000	{1700,4483,12,3249,1763}
73	42	2019-07-01T06:05:00.000	{864,184,3275,2962,924}
73	89	2019-07-01T06:05:00.000	{3523,3659,4414,3310,2969}
73	94	2019-07-01T06:05:00.000	{4223,805,1548,2832,2802,498}
73	30	2019-07-01T06:05:00.000	{1152,1663,1002,1881,2697}
73	73	2019-07-01T06:05:00.000	{3951,621,1499,4256,1509}
73	70	2019-07-01T06:05:00.000	{214,3160,2036,79,3700,3135}
73	82	2019-07-01T06:05:00.000	{498,493,2492,4311}
73	14	2019-07-01T06:05:00.000	{4298,3898,2921,1552}
73	13	2019-07-01T06:05:00.000	{1386,459,3747,1102}
74	42	2019-07-01T06:10:00.000	{924,1306,2423,3498,3571,2}
74	70	2019-07-01T06:10:00.000	{3135,1461,1936,4446,755}
74	13	2019-07-01T06:10:00.000	{1102,4369,2520,3625,2852,1952}
74	83	2019-07-01T06:10:00.000	{3533,897,4123,4428,1796}
74	73	2019-07-01T06:10:00.000	{1509,1818,3365,337}
74	82	2019-07-01T06:10:00.000	{4311,2529,1533,961,1227,4264}
74	14	2019-07-01T06:10:00.000	{1552,4224,1324,3180,234,751}
74	20	2019-07-01T06:10:00.000	{793,2847,330,2427}
74	30	2019-07-01T06:10:00.000	{2697,2705,2447,3010,2826,3896}
74	89	2019-07-01T06:10:00.000	{2969,1214,157,1647,659}
74	94	2019-07-01T06:10:00.000	{498,493,2492,4311,2529}
74	2	2019-07-01T06:10:00.000	{632,4500,3532,1490,1203}
74	3	2019-07-01T06:10:00.000	{1763,556,4509,4345,4149}
74	28	2019-07-01T06:10:00.000	{1768,2034,651,1675,1216}
75	30	2019-07-01T06:15:00.000	{3896,3989,1403,3378}
75	14	2019-07-01T06:15:00.000	{751,1789,2382,1460}
75	13	2019-07-01T06:15:00.000	{1952,1861,1103,3929,1635}
75	89	2019-07-01T06:15:00.000	{659,1943,3229,3072,905}
75	70	2019-07-01T06:15:00.000	{755,3515,4220,173,2401}
75	72	2019-07-01T06:15:00.000	{879,3041,3228,3138,3802}
75	28	2019-07-01T06:15:00.000	{1216,3436,1953,3873,822}
75	82	2019-07-01T06:15:00.000	{4264,3255,4048,663,3797,2288}
75	83	2019-07-01T06:15:00.000	{1796,499,4241,1163,268}
75	94	2019-07-01T06:15:00.000	{2529,1533,961,1227,4264}
75	3	2019-07-01T06:15:00.000	{4149,2698,1233,2314,2834}
75	2	2019-07-01T06:15:00.000	{1203,262,3276,249,905}
75	73	2019-07-01T06:15:00.000	{337,3064,4216,3974,2786,33}
75	20	2019-07-01T06:15:00.000	{2427,778,4200,2319,1485}
75	42	2019-07-01T06:15:00.000	{2,703,1578,4472,663}
76	2	2019-07-01T06:20:00.000	{905,3072,3229,1229,1798,825}
76	89	2019-07-01T06:20:00.000	{905,249,3276,262,1203}
76	30	2019-07-01T06:20:00.000	{3378,2420,2247,220,750,1433,1016}
76	83	2019-07-01T06:20:00.000	{268,1799,1438,3622,835}
76	82	2019-07-01T06:20:00.000	{2288,4168,1489,3398,1964}
76	62	2019-07-01T06:20:00.000	{3779,1334,1090,2805,3487}
76	28	2019-07-01T06:20:00.000	{822,3058,3964,3656,2476,1019}
76	13	2019-07-01T06:20:00.000	{1635,2637,4153,3763,4080}
76	73	2019-07-01T06:20:00.000	{33,2416,80,2710,821,4549}
76	70	2019-07-01T06:20:00.000	{2401,2310,3583,2394,2077}
76	72	2019-07-01T06:20:00.000	{3802,1821,1303,1452,302,4262}
76	1	2019-07-01T06:20:00.000	{2226,2820,1281,1573}
76	3	2019-07-01T06:20:00.000	{2834,4049,4455,1785,2586,2283}
76	94	2019-07-01T06:20:00.000	{4264,3255,4048,663,3797,2288}
76	14	2019-07-01T06:20:00.000	{1460,633,3701,2942,3920,1232}
76	42	2019-07-01T06:20:00.000	{663,4048,3255,4264,1227,961}
76	20	2019-07-01T06:20:00.000	{1485,1168,3795,3254,1962,3425}
77	94	2019-07-01T06:25:00.000	{2288,4168,1489,3398,1964,1977}
77	62	2019-07-01T06:25:00.000	{3487,1757,1083,2893}
77	73	2019-07-01T06:25:00.000	{4549,373,4405,4277,945,2343}
77	2	2019-07-01T06:25:00.000	{825,2343,945,4277,4405}
77	13	2019-07-01T06:25:00.000	{4080,2025,115,4469,4496,3140}
77	82	2019-07-01T06:25:00.000	{1964,1977,4508,4352,2950,894}
77	14	2019-07-01T06:25:00.000	{1232,1201,1721,1303,1452}
77	55	2019-07-01T06:25:00.000	{19,2835,108,894,2950}
